# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario.png	255	255	255
10	textures\enemies.png	3	26	110
20	textures\misc.png	176	224	248
30	textures\tiles.png	255	128	192
40	textures\tiles2.png	4	193	170
50	textures\enemies-2.png	0	128	128
60	textures\enemies-3.png	255	255	255
70	textures\map1-1.png	156	252	240


# id	left	top	right	bottom	texture_id
[SPRITES]
#Mario hàng 1
6015	425	195	441	221	0
#Mario hàng 7
7001	6	239	20	257	0
7002	36	234	50	261	0
7003	66	234	80	261	0
7004	96	234	110	261	0
7005	125	235	141	261	0
7006	155	234	170	261	0
7007	186	234	200	261	0
7008	215	234	231	261	0
7009	246	234	260	261	0
7010	276	234	291	261	0
7011	305	235	321	261	0
7012	336	234	350	261	0
7013	366	234	380	261	0
7014	396	234	410	261	0
7015	426	239	440	257	0
#Mario hàng 8
8001	2	274	23	301	0
8002	35	275	51	301	0
8003	66	277	80	299	0
8004	95	275	111	300	0
8005	122	274	143	301	0
8006	155	274	171	301	0
8007	185	274	201	301	0
8008	215	274	231	301	0
8009	245	274	261	301	0
8010	275	274	291	301	0
8011	303	274	324	301	0
8012	335	275	351	300	0
8013	366	277	380	299	0
8014	395	275	411	301	0
8015	423	274	444	301	0
#Mario hàng 9
9001	3	315	22	341	0
9002	33	314	52	341	0
9003	65	314	81	341	0
9004	96	314	110	341	0
9005	125	315	141	341	0
9006	155	314	170	341	0
9007	214	317	232	338	0
9008	276	314	291	341	0
9009	305	315	321	341	0
9010	336	314	350	341	0
9011	365	314	381	341	0
9012	394	314	413	341	0
9013	424	315	443	341	0
#Mario hàng 10
10001	3	358	22	378	0
10002	32	358	53	378	0
10003	63	358	83	377	0
10004	93	357	113	378	0
10005	125	360	141	383	0
10006	155	358	171	382	0
10007	185	354	201	381	0
10008	245	354	261	381	0
10009	275	358	291	382	0
10010	305	360	321	383	0
10011	333	357	353	378	0
10012	363	358	383	377	0
10013	393	358	414	378	0
10014	424	358	443	378	0
#Mario hàng 11
11001	5	394	21	422	0
11002	35	395	54	421	0
11003	65	394	84	421	0
11004	93	394	112	421	0
11005	125	395	141	421	0
11006	155	394	171	421	0
11007	186	394	200	421	0
11008	215	394	231	421	0
11009	246	394	260	421	0
11010	275	394	291	421	0
11011	305	395	321	421	0
11012	334	394	353	421	0
11013	362	394	381	421	0
11014	392	395	411	421	0
11015	425	394	441	422	0
#Mario hàng 12
12001	5	435	21	461	0
12002	33	435	52	461	0
12003	64	434	82	461	0
12004	93	435	112	461	0
12005	123	434	142	461	0
12006	153	434	172	461	0
12007	184	434	202	461	0
12008	215	434	231	461	0
12009	244	434	262	461	0
12010	274	434	293	461	0
12011	304	434	323	461	0
12012	334	435	353	461	0
12013	364	434	382	461	0
12014	394	435	413	461	0
12015	425	435	441	461	0
#Mario hàng 13
13001	6	479	20	497	0
13002	36	474	50	501	0
13003	66	474	80	501	0
13004	96	474	110	501	0
13005	125	475	141	501	0
13006	155	474	170	501	0
13007	186	474	200	501	0
13008	215	474	231	501	0
13009	246	474	260	501	0
13010	276	474	291	501	0
13011	305	475	321	501	0
13012	336	474	350	501	0
13013	366	474	380	501	0
13014	396	474	410	501	0
13015	426	479	440	505	0
#Mario hàng 14
14001 	1	514	24	543	0
14002 	34	514	52	542	0
14003	65	516	80	540	0
14004	91	511	113	541	0
14005 	122	513	144	541	0	
14006	155	514	173	543	0
14007	185	513	202	542	0
14008	214	514	232	542	0
14009	245	513	262	542	0	
14010	275	513	292	542	0	
14011	303	514	325	542	0
14012	334	514	352	541	0
14013	366	516	381	538	0
14014	395 	514	412	542	0
14015	422	514	444	541	0
#Mario hàng 15
15001	2	555	22	581	0
15002	33	554	52	581	0
15003	65	554	81	581	0
15004	96	554	110	581	0
15005	125	555	141	581	0
15006	155	554	170	581	0
15007	180	553	206	582	0
15008	214	557	232	578	0
15009	240	553	266	582	0
15010	276	554	291	581	0
15011	305	555	321	581	0
15012	336	554	350	581	0
15013	365	554	381	581	0
15014	394	554	413	581	0
15015	424	555	443	581	0
#Mario hàng 16
16001	3	598	22	618	0
16002	32	598	53	618	0
16003	63	598	83	617	0
16004	93	597	113	618	0
16005	125	600	141	623	0
16006	155	598	171	622	0	
16007	185	594	201	621	0
16008	
16009	245	594	261	621	0
16010	275	598	291	622	0
16011	305	600	321	623	0	
16012	333	597	353	618	0
16013	363	598	383	617	0
16014	393	598	414	618	0
16015	424	598	443	618	0
#Mario hàng 17
17001	5 	633	21	663	0
17002	32	634	53	661	0
17003	61	634	84	662	0
17004	91	634	115	662	0
17005	122	634	143	661	0
17006	152	634	174	662	0
17007	182	634	203	662	0
17008	215	633	231	662	0
17009	243	634	264	662	0
17010	272	634	294	662	0
17011	303	634	324	661	0
17012	331	634	355	662	0
17013	362	634	385	662	0
17014	393	634	414	661	0
17015	425	633	441	663	0
#Mario hàng 18
18001	5	674	21	691	0
18002	32	678	53	697	0
18003	61	674	85	702	0
18004	91	674	115	701	0
18005	121	674	144	702	0
18006	151	674	174	702	0
18007	181	674	205	702	0
18008	215	674	231	702	0
18009	241	674	265	702	0
18010	272	674	295	702	0	
18011	302	674	325	702	0
18012	331	674	355	701	0
18013	361	674	385	702	0
18014	393	678	414	697	0
18015	425	674	441	701	0
#Mario hàng 19
19001	2	719	24	737	0
19002	32	719	54	737	0
19003	61	714	85	742	0
19004	91	714	115	741	0
19005	122	714	143	741	0
19006	152	714	174	742	0
19007	182	714	203	742	0
19008	215	713	231	742	0
19009	243	714	264	742	0
19010	272	714	294	742	0
19011	303	714	324	741	0
19012	331	714	355	741	0
19013	361	714	385	742	0
19014	392	719	414	737	0
19015	422 	719	444	737	0
#Mario hàng 20
20001	2 	754	24	782	0
20002	31	754	54	781	0	
20003	61	754	85	781	0
20004	95	754	112	782	0
20005	122	753	143	782	0
20006	155	754	171	782	0
20007	185	753	201	782	0
20008	215	754	231	782	0
20009	245	753	261	782	0
20010	275	754	291	782	0
20011	303	753	324	782	0
20012	335	754	351	782	0
20013	361	754	385	781	0
20014	392	754	415	781	0
20015	422	754	444	782	0
#Mario hàng 21
21001	0	794	25	821	0
21002	33	794	52	822	0
21003	61	794	84	822	0
21004	92	794	113	822	0
21005	122	794	143	821	0
21006	152	794	174	822	0
21007	182	794	204	822	0
21008	214	797	232	818	0
21009	242	794	264	822	0
21010	272	794	294	822	0
21011	303	794	324	821	0
21012	333	794	354	822	0
21013	362	794	385	822	0
21014	394	794	413	822	0
21015	421	794	446	821	0
#Mario hàng 22
22001	2	838	23	858	0
22002	32	838	55	858	0
22003	63	837	83	858	0
22004	93	837	113	859	0
22005	125	840	141	863	0
22006	155	838	171	862	0
22007	182	834	203	862	0
22008	
22009	243	834	265	862	0
22010	275	838	291	862	0
22011	305	840	321	863	0
22012	333	837	353	859	0
22013	363	837	383	859	0
22014	392	838	414	858	0
22015	423	838	444	858	0
#Mario hàng 23
23001
23002
23003
23004	92	874	114	902	0
23005	122	874	144	902	0
23006	152	874	174	902	0
23007	182	874	204	902	0
23008	
23009	242	874	264	902	0
23010	272	874	294	902	0
23011	302	874	324	902	0
23012	332	874	354	902	0
23013
23014
23015
#Mario hàng 24
24001	1 	916	25	939	0
24002	32	916	54	939	0
24003	62	916	84	939	0
24004	93	916	113	939	0
24005	123	913	142	942	0
24006	153	913	173	942	0
24007	183	916	203	940	0
24008	215	916	231	939	0
24009	243	916	263	940	0
24010	273	913	293	942	0
24011	304	913	323	942	0
24012	333	916	353	939	0
24013	362	916	382	939	0
24014	392	916	414	939	0
24015	421	916	445	939	0
#Mario hàng 25
25001	1	957	25	979	0
25002	31	957	55	979	0
25003	61	956	85	979	0
25004	
25005	123	956	143	979	0
25006	152	957	174	978	0
25007	185	954	201	981	0
25008	215	952	231	983	0
25009	245	954	261	981	0
25010	272	957	294	978	0
25011	303	956	323	979	0
25012	
25013	361	956	385	979	0
25014	391	957	415	979	0
25015	421	957	445	979	0
#Mario hàng 26
26001	5 	994	21	1010	0
26002	35	992	51	1017	0
26003	62	992	83	1023	0
26004	95	992	111	1023	0
26005	124	993	141	1023	0
26006	155	992	171	1023	0
26007	185	992	200	1023	0
26008	215	992	231	1023	0
26009	246	992	261	1023	0
26010	275	992	291	1023	0
26011	305	993	322	1023	0
26012	335	992	351	1023	0
26013	363	992	384	1023	0
26014	395	992	411	1017	0
26015	425	994	441	1018	0
#Mario hàng 27
27001	3	1026	23	1046	0
27002	33	1024	53	1048	0
27003	31	1056	55	1076	0
27004	3	1056	23	1076	0
27005	65	1034	81	1061	0
27006	95	1035	16	25	0
27007	125	1035	141	1061	0
27008	155	1035	171	1060	0
27009	185	1036	201	1060	0
27010	215	1035	231	1060	0
27011	245	1036	261	1060	0
27012	275	1035	291	1060	0
27013	305	1035	321	1061	0
27014	335	1035	351	1060	0
27015	365	1034	381	1061	0
27016	393	1024	413	1048	0
27017	423	1026	443	1046	0
27018	391	1056	415	1076	0
27019	423	1056	443	1076	0
#Mario hàng 28
#Mario hàng 29
29001	5	1084	21	1112	0
29002	34	1084	51	1111	0
29003	64	1084	81	1112	0
29004	93	1084	112	1112	0
29005	125	1084	141	1111	0
29006	155	1084	171	1112	0
29007	185	1084	201	1112	0
29008	215	1084	231	1112	0
29009	245	1084	261	1112	0
29010	275	1084	291	1112	0
29011	305	1084	321	1111	0
29012	334	1084	353	1112	0
29013	365	1084	381	1112	0
29014	395	1084	412	1111	0
29015	425	1084	441	1112	0
#Mario hàng 30
30001	5	1124	21	1151	0
30002	33	1124	52	1151	0
30003	63	1124	82	1152	0
30004	93	1124	112	1152	0
30005	123	1124	142	1152	0
30006	154	1124	171	1152	0
30007	184	1124	202	1152	0
30008	215	1124	231	1152	0
30009	244	1124	262	1152	0
30010	275	1124	292	1152	0
30011	304	1124	323	1152	0
30012	334	1124	353	1152	0
30013	364	1124	383	1152	0
30014	394	1124	413	1151	0
30015	425	1124	441	1151	0
#Mario hàng 31
31001	5	1170	21	1186	0
31002	35	1164	51	1192	0
31003	65	1164	81	1192	0
31004	95	1164	111	1192	0
31005	125	1164	141	1191	0
31006	155	1164	171	1192	0
31007	185	1164	201	1192	0
31008	215	1164	231	1192	0
31009	245	1164	261	1192	0
31010	275	1164	291	1192	0
31011	305	1164	321	1192	0
31012	335	1164	351	1192	0
31013	365	1164	381	1192	0
31014	395	1164	411	1192	0
31015	425	1170	441	1186	0
#Mario hàng 32
32001	2	1204	24	1232	0
32002	35	1204	51	1231	0
32003	95	1205	111	1231	0
32004	122	1204	143	1232	0
32005	155	1204	171	1232	0
32006	185	1204	201	1232	0
32007	215	1204	231	1232	0
32008	245	1204	261	1232	0
32009	275	1204	291	1232	0
32010	303	1204	324	1232	0
32011	335	1205	351	1231	0
32012	395	1204	411	1231	0
32013	422	1204	444	1232	0
#Mario hàng 33
33001	3	1244	22	1271	0
33002	33	1244	52	1272	0
33003	65	1244	81	1272	0
33004	95	1244	111	1272	0
33005	124	1244	141	1271	0
33006	154	1244	171	1272	0
33007	214	1247	232	1268	0
33008	275	1244	292	1272	0
33009	305	1244	322	1271	0
33010	335	1244	351	1272	0
33011	365	1244	381	1272	0
33012	394	1244	413	1272	0
33013	424	1244	443	1271	0
#Mario hàng 34
34001	3	1288	22	1307	0
34002	34	1289	52	1307	0
34003	64	1288	82	1308	0
34004	94	1288	112	1307	0
34005	125	1290	141	1313	0
34006	155	1288	171	1312	0
34007	185	1284	201	1312	0
34008	245	1284	261	1312	0
34009	275	1288	291	1312	0
34010	305	1290	321	1313	0
34011	334	1288	352	1307	0
34012	364	1288	382	1308	0
34013	394	1289	412	1307	0
34014	424	1288	443	1307	0
#Mario hàng 35
35001	5	1323	21	1352	0
35002	32	1324	53	1351	0
35003	60	1324	85	1352	0
35004	91	1324	114	1352	0
35005	122	1324	143	1351	0
35006	152	1323	177	1352	0
35007	182	1323	204	1352	0
35008	215	1323	231	1352	0
35009	242	1323	264	1352	0
35010	272	1323	294	1352	0
35011	303	1324	324	1351	0
35012	332	1324	355	1352	0
35013	361	1324	386	1352	0
35014	393	1324	414	1351	0
35015	425	1323	441	1352	0
#Mario hàng 36
36001	5	1364	21	1391	0
36002	32	1369	54	1387	0
36003	61	1364	85	1392	0
36004	91	1364	115	1391	0
36005	121	1364	145	1391	0
36006	151	1364	175	1391	0
36007	181	1364	205	1391	0
36008	215	1363	231	1392	0
36009	241	1364	265	1391	0
36010	271	1364	295	1391	0
36011	302	1364	325	1391	0
36012	331	1364	355	1391	0
36013	361	1364	385	1392	0
36014	392	1369	414	1387	0
36015	425	1364	441	1391	0
#Mario hàng 37
37001	3	1407	23	1428	0
37002	32	1408	53	1427	0
37003	61	1404	85	1432	0
37004	91	1404	115	1431	0
37005	122	1404	143	1431	0
37006	152	1403	174	1432	0
37007	182	1403	203	1432	0
37008	215	1403	231	1432	0
37009	243	1403	264	1432	0
37010	272	1403	294	1432	0
37011	303	1404	324	1431	0
37012	331	1404	355	1431	0
37013	361	1404	385	1432	0
37014	393	1408	413	1427	0
37015	423	1407	443	1428	0
#Mario hàng 38
38001	2	1444	23	1472	0
38002	30	1444	55	1471	0
38003	61	1444	85	1471	0
38004	95	1444	101	1472	0
38005	122	1443	143	1472	0
38006	155	1443	171	1472	0
38007	185	1443	201	1472	0
38008	215	1443	231	1472	0
38009	245	1443	261	1472	0
38010	275	1443	291	1472	0
38011	303	1443	324	1472	0
38012	335	1444	351	1472	0
38013	361	1444	385	1471	0
38014	391	1444	416	1471	0
38015	423	1444	444	1472	0
#Mario hàng 39
39001	0	1484	25	1511	0
39002	33	1484	52	1512	0
39003	61	1483	84	1512	0
39004	92	1483	114	1512	0
39005	122	1484	144	1511	0
39006	152	1484	174	1511	0
39007	181	1483	204	1512	0
39008	213	1487	233	1508	0
39009	242	1483	265	1512	0
39010	272	1484	294	1511	0
39011	302	1484	324	1511	0
39012	332	1483	355	1512	0
39013	362	1483	385	1512	0
39014	394	1484	413	1512	0
39015	412	1484	446	1511	0
#Mario hàng 40
40001	2	1528	23	1548	0
40002	26	1528	49	1548	0
40003	53	1527	73	1548	0
40004	78	1526	98	1549	0
40005	110	1531	126	1553	0
40006	140	1529	156	1552	0
40007	167	1524	189	1552	0
40008	200	1523	216	1552	0
40009 	230	1523	246	1552	0
40010	257	1524	279	1552	0
40011	390	1529	306	1552	0
40012	320	1531	336	1553	0
40013	348	1526	368	1549	0
40014	373	1527	393	1548	0
40015	397	1528	420	1548	0
40016	423	1528	444	1548	0
#Mario hàng 41
41001	35	1558	51	1598	0
41002	61	1563	85	1595	0
41003	90	1564	115	1594	0
41004	119	1566	136	1592	0
41005	150	1564	176	1592	0
41006	179	1565	197	1593	0
41007	239	1565	267	1593	0
41008	270	1564	296	1592	0
41009	300	1566	327	1592	0
41010	331	1564	356	1594	0
41011	361	1563	385	1595	0
41012	395	1558	406	1598	0

#Gạch lẻ
50000	324	171	340	187	30

#Gạch bể
50001	273	154	289	171	30

#Gạch nền nhỏ
50002	222	222	238	238	30
50003	239	222	255	238	30
50004	256	222	272	238	30

#Gạch nền bự trên
50005	9	10	23	25	40
50006	25	10	40	25	40
50007	42	10	57	25	40

#Gạch nền bự dưới
50008	9	27	23	41	40
50009	25	27	40	41	40
50010	42	27	57	41	40

#Gạch chấm hỏi
50011	300	117	316	133	20
50012	318	117	334	133	20
50013	336	117	352	133	20
50014	355	117	370	133	20

#Vệt đen gạch
50015	103	77	111	93	30
50016	103	86	111	102	30
50017	103	103	111	111	30
50018	77	103	85	111	30
50019	86	103	102	111	30

#Gạch lẻ bự
50020	443	120	459	136	30
50021	460	120	476	136	30
50022	443	137	459	153	30
50023	460	137	476	153	30

#Bụi cây nhỏ
60000	222	205	238	221	30

#Bụi cây đầu
60001	138	1	153	17	30
60002	154	1	169	17	30
60003	137	18	153	34	30
60004	154	18	170	34	30
60005	137	35	153	51	30
60006	154	35	170	51	30
60007	137	52	153	68	30

#Đồng tiền
70000	171	137	185	153	30

#Mây mặt cười dưới
80000	222	188	238	204	30

#Mây mặt cười trên
80001	222	171	238	187	30

#Mây 1
80002	328	257	360	280	70

#Mây 2
80003	120	273	168	296	70

#Mây 3
80004	728	305	792	328	70

#Hộp trắng
90000	1	1	18	18	30
90001	18	1	34	17	30
90002	35	1	51	17	30
90003	1	18	17	34	30
90004	18	18	34	34	30
90005	35	18	51	34	30
90006	1	35	17	51	30
90007	18	35	34	51	30
90008	35	35	51	51	30

#Hộp đỏ
90009	1	52	17	68	30
90010	18	52	34	68	30
90011	35	52	51	68	30
90012	1	69	17	85	30
90013	18	69	34	85	30
90014	35	69	51	85	30
90015	1	86	17	102	30
90016	18	86	34	102	30
90017	35	86	51	102	30

#Hộp xanh dương
90018	52	52	68	68	30
90019	69	52	85	68	30
90020	86	52	102	68	30
90021	52	69	68	85	30
90022	69	69	85	85	30
90023	86	69	102	85	30
90024	52	86	68	102	30
90025	69	86	85	102	30
90026	86	86	102	102	30

#Hộp xanh lá
90027	52	1	68	17	30
90028	69	1	85	17	30
90029	86	1	102	17	30
90030	52	18	68	34	30
90031	69	18	85	34	30
90032	86	18	102	34	30
90033	52	35	68	51	30
90034	69	35	85	51	30
90035	86	35	102	51	30

#Ống cống dọc
90036 	324	52	340	68	30
90037	341	52	357	68	30
90038	325	69	340	85	30
90039	341	69	356	85	30



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# ==== MARIO =========
#idle BIG right
400	5009	100
#idle BIG left
401	5007	100
#idle small right
402	1009	100
#idle small left
403	1007	100
#walk right big
500	5009	100	5010	100	5011	100
#walk left big
501	5007	100	5006	100	5005	100
#walk right small
502	1009	100	1010	100	1011	100
#walk left small
503	1006	100	1005	100	1004	100
#fly right big
504	6009	100	6010	100	6011	100	6012	100	6013	100	6014	100
#fly left
505	6007	100	6006	100	6005	100	6004	100	6003	100	6002	100
#die
599	4008	100

# ====FIRE MARIO =========
#idle right
600	11009	100
#idle left
601	11007	100
#walk right
602	15010	100	15011	100	15012	100
#walk left
603	15006	100	15005	100	15004	100
#fly right
604	12009	100	12010	100	12011	100	12012	100	12013	100	12014	100
#fly left
605	12007	100	12006	100	12005	100	12004	100	12003	100	12002	100

#Gạch lẻ
5000	50000	100

#Gạch bể được
5001	50001	100

# Gạch nền nhỏ
5002	50002	100
5003	50003	100
5004	50004	100

#Gạch nên bự trên
5005	50005	100
5006	50006	100
5007	50007	100

#Gạch nền bự dưới
5008	50008	100
5009	50009	100
5010	50010	100

#Gạch chấm hỏi
5011	50011	100	50012	100	50013	100	50014	100

#Vệt đen gạch
5015	50015	100
5016	50016	100
5017	50017	100
5018	50018	100
5019	50019	100

#Gạch lẻ bự
5020	50020	100
5021	50021	100
5022	50022	100
5023	50023	100

#Bụi cây nhỏ
6000	60000	100

#Bụi cây đầu
6001	60001	100
6002	60002	100
6003	60003	100
6004	60004	100
6005	60005	100
6006	60006	100
6007	60007	100

#Đồng tiền
7000	70000	100

# Mây cười dưới - trên
8000	80000	100
8001	80001	100

#Mây 1
8002	80002	100

#Mây 2
8003	80003	100

#Mây 3
8004	80004	100

#Hộp trắng
9000	90000	100
9001	90001	100
9002	90002	100
9003	90003	100
9004	90004	100
9005	90005	100
9006	90006	100
9007	90007	100
9008	90008	100

#Hộp đỏ
9009	90009	100
9010	90010	100
9011	90011	100
9012	90012	100
9013	90013	100
9014	90014	100
9015	90015	100
9016	90016	100
9017	90017	100


#Hộp xanh dương
9018	90018	100
9019	90019	100
9020	90020	100
9021	90021	100
9022	90022	100
9023	90023	100
9024	90024	100
9025	90025	100
9026	90026	100


#Hộp xanh lá
9027	90027	100
9028	90028	100
9029	90029	100
9030	90030	100
9031	90031	100
9032	90032	100
9033	90033	100
9034	90034	100
9035	90035	100

#Ống cống dọc
9036	90036	100
9037	90037	100
9038	90038	100
9039	90039	100



#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
# MARIO
1	400	401	402	403	500	501	502	503	599	600	601	602	603	604	605
#Gạch lẻ
5000	5000

#Gạch bể được
5001	5001

# Gạch nền dưới
5002	5002
5003	5003
5004	5004

#Gạch nên bự trên
5005	5005
5006	5006
5007	5007

#Gạch nền bự dưới
5008	5008
5009	5009
5010	5010

#Gạch chấm hỏi
5011	5011

#Vệt đen gạch
5015	5015
5016	5016
5017	5017
5018	5018
5019	5019

#Gạch lẻ bự
5020	5020
5021	5021
5022	5022
5023	5023

#Bụi cây nhỏ
6000	6000

#Bụi cây đầu
6001	6001
6002	6002
6003	6003
6004	6004
6005	6005
6006	6006
6007	6007

#Đồng tiền
7000	7000

# Mây cười dưới - trên
8000	8000
8001	8001

#Mây 1
8002	8002

#Mây 2
8003	8003

#Mây 3
8004	8004

#Hộp trắng
9000	9000
9001	9001
9002	9002
9003	9003
9004	9004
9005	9005
9006	9006
9007	9007
9008	9008

#Hộp đỏ
9009	9009
9010	9010
9011	9011
9012	9012
9013	9013
9014	9014
9015	9015
9016	9016
9017	9017


#Hộp xanh dương
9018	9018
9019	9019
9020	9020
9021	9021
9022	9022
9023	9023
9024	9024
9025	9025
9026	9026


#Hộp xanh lá
9027	9027
9028	9028
9029	9029
9030	9030
9031	9031
9032	9032
9033	9033
9034	9034
9035	9035

#Ống cống dọc
9036	9036
9037	9037
9038	9038
9039	9039

[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = NoCollision, 5 = Box, 6 = Drain


# BRICK 

#Gạch chấm hỏi
1	176	87	5011
1	192	87	5011
1	224	39	5011
1	240	39	5011
1	416	55	5011
1	656	121	5011
1	704	87	5011
1	1440	-137	5011
1	1472	103	5011

#Gạch lẻ
1	1505	71	5000
1	1520	71	5000

1	1571	135	5000
1	1586	135	5000
1	1601	135	5000

1	1586	120	5000
1	1601	120	5000

1	1601	105	5000

1	1664	105	5000

1	1664	120	5000
1	1679	120	5000

1	1664	135	5000
1	1679	135	5000
1	1694	135	5000

1	2256	39	5000
1	2271	39	5000

1	2256	103	5000
1	2271	103	5000


#Hàng gạch nền nhỏ 1
1	0	150	5002
1	16	150	5003
1	32	150	5003
1	48	150	5003
1	64	150	5003
1	80	150	5003
1	96	150	5003
1	112	150	5003
1	128	150	5003
1	144	150	5003
1	160	150	5003
1	176	150	5003
1	192	150	5003
1	208	150	5003
1	224	150	5003
1	240	150	5003
1	256	150	5003
1	272	150	5003
1	288	150	5003
1	304	150	5003
1	320	150	5003
1	336	150	5003
1	352	150	5003
1	368	150	5003
1	384	150	5003
1	400	150	5003
1	416	150	5003
1	432	150	5003
1	448	150	5003
1	464	150	5003
1	480	150	5003
1	496	150	5003
1	512	150	5003
1	528	150	5003
1	544	150	5003
1	560	150	5003
1	576	150	5003
1	592	150	5003
1	608	150	5004
#Gạch nền nhỏ 2
1	1152	150	5002
1	1168	150	5003
1	1184	150	5003
1	1200	150	5003
1	1216	150	5003
1	1232	150	5003
1	1248	150	5003
1	1264	150	5003
1	1280	150	5003
1	1296	150	5003
1	1312	150	5003
1	1328	150	5003
1	1344	150	5003
1	1360	150	5003
1	1376	150	5003
1	1392	150	5003
1	1408	150	5003
1	1424	150	5003
1	1440	150	5003
1	1456	150	5003
1	1472	150	5003
1	1488	150	5004

#Gạch nền nhỏ 3
1	1536	150	5002
1	1552	150	5003
1	1568	150	5003
1	1584	150	5003
1	1600	150	5004

#Gạch nền nhỏ 4
1	1664	150	5002
1	1680	150	5003
1	1696	150	5003
1	1712	150	5003
1	1728	150	5003
1	1744	150	5003
1	1760	150	5003
1	1776	150	5003
1	1792	150	5003
1	1808	150	5003
1	1824	150	5003
1	1840	150	5003
1	1856	150	5003
1	1872	150	5003
1	1888	150	5003
1	1904	150	5003
1	1920	150	5003
1	1936	150	5003
1	1952	150	5003
1	1968	150	5003
1	1984	150	5003
1	2000	150	5003
1	2016	150	5003
1	2032	150	5003
1	2048	150	5003
1	2064	150	5003
1	2080	150	5003
1	2096	150	5003
1	2112	150	5003
1	2128	150	5003
1	2144	150	5003
1	2160	150	5003
1	2176	150	5003
1	2192	150	5003
1	2208	150	5003
1	2224	150	5004

#Gạch nền nhỏ 5
1	2256	150	5002
1	2272	150	5003
1	2288	150	5003
1	2304	150	5003
1	2320	150	5003
1	2336	150	5003
1	2352	150	5003
1	2368	150	5003
1	2384	150	5003
1	2400	150	5003
1	2416	150	5003
1	2432	150	5003
1	2448	150	5003
1	2464	150	5003
1	2480	150	5003
1	2496	150	5003
1	2512	150	5003
1	2528	150	5003
1	2544	150	5003
1	2560	150	5003
1	2576	150	5003
1	2592	150	5003
1	2608	150	5003
1	2624	150	5003
1	2640	150	5003
1	2656	150	5003
1	2672	150	5003
1	2688	150	5003
1	2704	150	5003
1	2720	150	5003
1	2736	150	5003
1	2752	150	5003
1	2768	150	5003
1	2784	150	5003
1	2800	150	5004


#Hàng gạch bự trên 1
